"id";"UDALERRIA_KODEA/COD_MUNICIPIO";"UDALERRIA/MUNICIPIO";"EKITALDIA/EJERCICIO";"EDUKIONTZI_KODEA/COD_CONTENEDOR";"longitude";"latitude"
1001;17;"BERMEO";2020;33;521848.7;4807147.42
1002;17;"BERMEO";2020;34;522056.21;4807109.15
1003;17;"BERMEO";2020;35;522006.74;4807363.88
1004;17;"BERMEO";2020;36;522079.96;4807384.23
1005;17;"BERMEO";2020;37;522128.02;4807527.42
1006;17;"BERMEO";2020;38;522601.3;4807197.82
1007;17;"BERMEO";2020;39;521126.61;4807826.36
1008;17;"BERMEO";2020;40;521129.21;4807826.91
1009;17;"BERMEO";2020;42;521692.47;4807550.25
1010;17;"BERMEO";2020;43;519395.35;4805959.68
1011;17;"BERMEO";2020;44;521965.68;4807435.36
974;17;"BERMEO";2020;1;522418.77;4807429.93
975;17;"BERMEO";2020;2;522408.22;4807306.67
976;17;"BERMEO";2020;4;522582.94;4807526.98
977;17;"BERMEO";2020;5;521945.12;4807614.35
978;17;"BERMEO";2020;6;522030.13;4807547.44
979;17;"BERMEO";2020;7;521974.97;4807550.6
980;17;"BERMEO";2020;8;521613.39;4807528.67
981;17;"BERMEO";2020;9;521689.87;4807549.9
982;17;"BERMEO";2020;10;521814.62;4807745.9
983;17;"BERMEO";2020;11;521754.78;4807723.54
984;17;"BERMEO";2020;12;522004.96;4807609.89
985;17;"BERMEO";2020;13;522203.73;4807615.84
986;17;"BERMEO";2020;14;522243.3;4807633.49
987;17;"BERMEO";2020;17;522435.35;4807734.63
988;17;"BERMEO";2020;19;522469.41;4807972.63
989;17;"BERMEO";2020;20;522293.46;4807765.85
990;17;"BERMEO";2020;21;522067.7;4807845.06
991;17;"BERMEO";2020;22;522225.74;4807791.48
992;17;"BERMEO";2020;24;521987.39;4807770.37
993;17;"BERMEO";2020;25;521730.16;4807948.68
994;17;"BERMEO";2020;26;521962.75;4807670.54
995;17;"BERMEO";2020;27;522267.74;4807492.08
996;17;"BERMEO";2020;28;522321.49;4807381.97
997;17;"BERMEO";2020;29;522223.81;4807310.36
998;17;"BERMEO";2020;30;522080.85;4807309.38
999;17;"BERMEO";2020;31;521947.0;4807239.15
1000;17;"BERMEO";2020;32;522000.92;4807050.65
1012;17;"BERMEO";2020;45;521810.99;4807496.53
1013;17;"BERMEO";2020;46;522066.4;4807645.35
1014;17;"BERMEO";2020;47;521471.91;4806268.73
1015;17;"BERMEO";2020;49;522452.64;4807594.91
1016;17;"BERMEO";2020;50;522442.94;4807637.3
1017;17;"BERMEO";2020;51;521185.9;4807715.88
1018;17;"BERMEO";2020;53;522454.75;4807907.24
1019;17;"BERMEO";2020;54;521813.48;4807496.43
1020;17;"BERMEO";2020;55;521925.15;4807211.72
1021;17;"BERMEO";2020;56;522162.42;4807307.35
1022;17;"BERMEO";2020;57;522302.48;4807663.98
1023;17;"BERMEO";2020;59;519370.26;4805962.64
1024;17;"BERMEO";2020;60;522433.29;4807733.43
1025;17;"BERMEO";2020;62;522737.24;4807229.22
1026;17;"BERMEO";2020;63;522718.25;4807646.65
1027;17;"BERMEO";2020;65;521984.3;4805983.2
1028;17;"BERMEO";2020;66;521979.11;4807114.08
1029;17;"BERMEO";2020;68;521177.72;4807486.94
1030;17;"BERMEO";2020;69;522143.74;4807700.23
1031;17;"BERMEO";2020;72;521845.55;4807149.24
1032;17;"BERMEO";2020;73;522148.45;4807388.58
1033;17;"BERMEO";2020;74;521469.76;4808039.58
1034;17;"BERMEO";2020;75;519749.94;4805210.77
1035;17;"BERMEO";2020;76;522275.23;4807861.11
1036;17;"BERMEO";2020;80;522008.38;4807294.21
1037;17;"BERMEO";2020;81;522009.12;4807365.19
1038;17;"BERMEO";2020;83;522469.83;4807974.9
1039;17;"BERMEO";2020;84;522455.61;4807909.3
1040;17;"BERMEO";2020;85;519414.14;4804067.65
1041;17;"BERMEO";2020;86;521824.76;4808002.54
1042;17;"BERMEO";2020;87;522504.28;4807216.77
1043;17;"BERMEO";2020;88;521175.77;4807485.63
1044;17;"BERMEO";2020;89;521403.66;4807828.96
1045;17;"BERMEO";2020;90;521406.91;4807828.76
1046;17;"BERMEO";2020;91;519800.24;4810409.55
1047;17;"BERMEO";2020;92;521816.09;4807830.51
1048;17;"BERMEO";2020;93;521931.97;4807721.08
1049;17;"BERMEO";2020;94;522844.28;4807231.64
1050;17;"BERMEO";2020;95;520896.27;4808192.8
1051;17;"BERMEO";2020;96;521657.05;4807864.71
1052;17;"BERMEO";2020;97;521703.43;4807786.54
1053;17;"BERMEO";2020;98;519541.9;4805377.26
1054;17;"BERMEO";2020;99;521290.58;4807710.58
1055;17;"BERMEO";2020;100;522406.02;4807738.97
1056;17;"BERMEO";2020;101;521732.78;4807709.39
1057;17;"BERMEO";2020;102;522409.03;4807305.0
1058;17;"BERMEO";2020;103;522300.68;4807663.3
