"id";"UDALERRIA_KODEA/COD_MUNICIPIO";"UDALERRIA/MUNICIPIO";"EKITALDIA/EJERCICIO";"EDUKIONTZI_KODEA/COD_CONTENEDOR";"longitude";"latitude"
3624;96;"ZALLA";2020;1;490698.48;4784255.94
3625;96;"ZALLA";2020;2;488880.39;4784562.18
3626;96;"ZALLA";2020;3;488958.42;4784645.53
3627;96;"ZALLA";2020;4;489138.43;4784674.33
3628;96;"ZALLA";2020;5;489186.19;4784566.46
3629;96;"ZALLA";2020;6;489207.63;4784619.29
3630;96;"ZALLA";2020;7;489189.85;4784540.73
3631;96;"ZALLA";2020;8;489344.77;4784756.83
3632;96;"ZALLA";2020;9;489513.14;4784652.79
3633;96;"ZALLA";2020;10;489262.45;4784428.49
3634;96;"ZALLA";2020;11;489687.39;4784478.96
3635;96;"ZALLA";2020;12;490395.36;4784231.08
3636;96;"ZALLA";2020;13;489655.66;4784529.59
3637;96;"ZALLA";2020;14;489085.38;4784812.27
3638;96;"ZALLA";2020;15;489240.27;4784319.43
3639;96;"ZALLA";2020;16;489362.09;4783781.23
3640;96;"ZALLA";2020;17;489521.83;4783790.0
3641;96;"ZALLA";2020;18;489027.61;4783306.8
3642;96;"ZALLA";2020;19;486342.6;4785337.24
3643;96;"ZALLA";2020;20;487292.19;4785326.61
3644;96;"ZALLA";2020;21;486244.64;4783492.19
3645;96;"ZALLA";2020;22;486590.06;4783561.41
3646;96;"ZALLA";2020;24;490453.7;4784268.44
3647;96;"ZALLA";2020;25;490740.15;4784374.64
3648;96;"ZALLA";2020;26;490847.84;4784422.91
3649;96;"ZALLA";2020;27;490847.65;4784211.36
3650;96;"ZALLA";2020;28;489145.74;4784751.39
3651;96;"ZALLA";2020;29;489281.61;4784560.56
3652;96;"ZALLA";2020;30;490526.54;4784158.38
3653;96;"ZALLA";2020;31;489408.0;4784571.0
3654;96;"ZALLA";2020;32;489202.94;4784404.7
3655;96;"ZALLA";2020;33;489250.51;4784250.69
3656;96;"ZALLA";2020;34;491094.75;4784377.53
3657;96;"ZALLA";2020;35;489201.88;4784842.03
3658;96;"ZALLA";2020;36;488916.52;4784868.34
3659;96;"ZALLA";2020;37;488424.45;4784031.15
3660;96;"ZALLA";2020;38;488757.19;4784434.08
3661;96;"ZALLA";2020;41;488390.99;4783633.45
3662;96;"ZALLA";2020;42;489514.55;4784655.28
3663;96;"ZALLA";2020;43;489582.71;4784700.33
3664;96;"ZALLA";2020;45;487081.31;4783548.95
3665;96;"ZALLA";2020;46;489262.23;4784425.99
3666;96;"ZALLA";2020;47;488992.7;4783750.78
3667;96;"ZALLA";2020;48;488882.02;4784560.65
3668;96;"ZALLA";2020;49;488960.17;4784646.61
3669;96;"ZALLA";2020;50;488353.87;4783909.46
3670;96;"ZALLA";2020;51;485063.19;4782823.28
3671;96;"ZALLA";2020;52;489584.45;4784698.71
3672;96;"ZALLA";2020;53;489337.53;4784441.72
3673;96;"ZALLA";2020;54;489478.77;4784688.99
3674;96;"ZALLA";2020;55;489558.3;4783918.16
3675;96;"ZALLA";2020;56;490420.64;4784154.72
3676;96;"ZALLA";2020;57;490518.59;4784239.91
3677;96;"ZALLA";2020;58;490473.16;4784395.31
3678;96;"ZALLA";2020;59;489319.68;4783969.32
3679;96;"ZALLA";2020;60;485897.61;4785586.8
3680;96;"ZALLA";2020;61;489359.51;4784495.52
3681;96;"ZALLA";2020;62;490503.62;4784364.0
3682;96;"ZALLA";2020;63;489204.73;4784857.67
3683;96;"ZALLA";2020;64;488676.11;4784347.16
3684;96;"ZALLA";2020;65;490782.73;4784204.26
3685;96;"ZALLA";2020;66;489336.54;4784439.55
3686;96;"ZALLA";2020;67;489314.18;4784352.96
3687;96;"ZALLA";2020;68;489345.22;4784759.43
3688;96;"ZALLA";2020;69;489585.64;4784696.75
3689;96;"ZALLA";2020;70;488249.0;4783576.86
3690;96;"ZALLA";2020;71;489572.5;4783980.0
