"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","longitude","latitude"
3787,913,"ZIERBENA",2020,1,490904.44,4799636.45
3788,913,"ZIERBENA",2020,2,492683.51,4799572.12
3789,913,"ZIERBENA",2020,3,493456.29,4799993.29
3790,913,"ZIERBENA",2020,4,490935.64,4799715.26
3791,913,"ZIERBENA",2020,5,492622.34,4798792.74
3792,913,"ZIERBENA",2020,6,492784.15,4799350.4
3793,913,"ZIERBENA",2020,7,490836.52,4799562.02
3794,913,"ZIERBENA",2020,8,492208.42,4799784.6
3795,913,"ZIERBENA",2020,9,493393.9,4798625.35
3796,913,"ZIERBENA",2020,10,490904.23,4799640.78
3797,913,"ZIERBENA",2020,14,493321.0,4800021.05
3798,913,"ZIERBENA",2020,18,491781.75,4799832.76
3799,913,"ZIERBENA",2020,19,493991.77,4799804.76
3800,913,"ZIERBENA",2020,20,492007.12,4801260.64
